Location,Country,LocalTime,LastUpdated,TemperatureC,TemperatureF,IsDay,Condition,UV
Antananarivo,Madagascar,2023-08-16 14:39,2023-08-16 14:30,26.0,78.8,1,Partly cloudy,6.0
Majunga,Madagascar,2023-08-16 14:39,2023-08-16 14:30,31.0,87.8,1,Partly cloudy,7.0
Toliara,Madagascar,2023-08-16 14:39,2023-08-16 14:30,23.1,73.6,1,Sunny,6.0
Foulpointe,Madagascar,2023-08-16 14:39,2023-08-16 14:30,27.0,80.6,1,Partly cloudy,7.0
Antsirabe,Madagascar,2023-08-16 14:39,2023-08-16 14:30,21.4,70.5,1,Sunny,6.0
Fianarantsoa,Madagascar,2023-08-16 14:39,2023-08-16 14:30,23.5,74.3,1,Sunny,6.0
